,label,original,hypothesis,modified
14513,entailment,a dark-haired woman wearing a green dress and carrying a yellow backpack crossing a street.,a woman is wearing a dress.,a woman is dress a wearing.
14514,neutral,"a woman in a long green shirt, a yellow backpack, and a bottle of water is walking across a street as a couple follows close behind.",the woman is on her way to a hiking trail.,the woman is on her way to trail hiking a.
14515,neutral,a tattooed woman with a green dress and yellow backpack holding a water bottle is walking across the street.,the water bottle is empty.,the water bottle empty.
14516,entailment,"a woman with a yellow backpack, tattoos, and a bottle of water walks on the street.",the woman walking down the street was carrying bottled water.,the walk woman walking down the street was carrying bottled water.
14517,entailment,a tattooed woman with a green dress and yellow backpack holding a water bottle is walking across the street.,the woman is walking outdoors.,woman is walking outdoors.
14518,contradiction,a tattooed woman with a green dress and yellow backpack holding a water bottle is walking across the street.,the backpack is black.,the backpack black is.
14519,contradiction,"a woman with a yellow backpack, a tattoo, a green dress and spandex walks past a couple.",the woman does not have any clothing on.,the woman vesture does not have any clothing on.
14520,contradiction,"a woman in a long green shirt, a yellow backpack, and a bottle of water is walking across a street as a couple follows close behind.",a woman with a backpack is taking a picture of a couple across the street.,a woman with a backpack is charwoman taking a amp picture of a couple across the street.
14521,entailment,a man with a dark blue shirt and hat wears glasses next to a taxi.,a man stands next to a taxi,a man next to a taxi
14522,neutral,an elderly man in a cap and sunglasses walks by a taxi.,a person goes by a car next to a street.,a car goes by a person next to a street.
14523,contradiction,an elderly man in a cap and sunglasses walks by a taxi.,a woman goes by a car.,a woman sound by a car.
14524,entailment,an elderly man in a cap and sunglasses walks by a taxi.,a person goes by a car.,a person goes by a.
14525,entailment,a man with a blue polo is standing in front of a taxi.,a man is standing in front of a cab.,a man is standing in front human of a cab.
14526,contradiction,a man wearing a cap and jacket passing by a taxi.,the man is sitting in a movie theater.,the gentleman is sitting in a movie theater.
14527,neutral,a man wearing a cap and jacket passing by a taxi.,the man is walking down the street.,the man is walking walk down the street.
14528,neutral,a man with a blue polo is standing in front of a taxi.,a man is standing in front of a cab to get it to stop.,a fend man is standing in front of a cab to get it to stop.
14529,contradiction,a man with a blue polo is standing in front of a taxi.,a naked man is standing in front of a taxi.,a naked man is inward standing in front of a taxi.
14530,entailment,a man wearing a cap and jacket passing by a taxi.,the man is wearing a cap.,the man is cap a wearing.
14531,entailment,a black man with a hat and shades frowning with a yellow taxi in the background.,the man is black,the be man is black
14532,neutral,a black man with a hat and shades frowning with a yellow taxi in the background.,the man is angry,the valet is angry
14533,contradiction,a black man with a hat and shades frowning with a yellow taxi in the background.,the man is white,the white is man
14534,contradiction,a man with a dark blue shirt and hat wears glasses next to a taxi.,a woman runs from a taxi,runs woman a from a taxi
14535,neutral,a man with a dark blue shirt and hat wears glasses next to a taxi.,a man stands next to his taxi with his new sunglasses,stands man a next to his taxi with his new sunglasses
14536,neutral,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a woman practices yoga outside in a courtyard.,a woman yoga outside in a courtyard.
14537,contradiction,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a lady relaxes on top of a concrete sphere with an 18th century building surrounding the sphere,a lady relaxes on tip of a concrete firmament with an 18th century building surrounding the firmament
14538,contradiction,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a lady is doing a stretch exercise on top of a concrete sphere that is floating in the air.,a lady is doing a elongate exercise on whirligig of a concrete sphere that is floating in the tune.
14539,entailment,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a lady in black pants does stretches on a concreate sphear.,a lady in pitch-dark pants does extend on a concreate sphear.
14540,neutral,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a lady does stretches on a work of art.,a lady does stretches on a lick of art.
14541,entailment,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a woman does stretching exercises.,a woman stretching exercises.
14542,entailment,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",the woman has gym clothing on,the on has gym clothing woman
14543,neutral,a girl is standing on one leg on top of a globe shaped structure.,a tall human standing,a tall human support
14544,entailment,a girl is standing on one leg on top of a globe shaped structure.,a human standing,a human 
14545,contradiction,a girl in a white shirt does a yoga move atop a statue.,a girl is climbing a mountain.,a girl is climbing live a mountain.
14546,entailment,a girl in a white shirt does a yoga move atop a statue.,a person is posing.,posing person is a.
14547,neutral,a girl in a white shirt does a yoga move atop a statue.,a person is doing yoga.,a is doing yoga.
14548,entailment,"a woman with dark hair, a white shirt, and black pants is stretching on a round platform.",a woman is stretching.,amp a woman is stretching.
14549,neutral,"a woman with dark hair, a white shirt, and black pants is stretching on a round platform.",the woman is standing up with her hands in the air stretching.,the woman is standing the with her hands in up air stretching.
14550,contradiction,"a woman with dark hair, a white shirt, and black pants is stretching on a round platform.",the woman is running down a dirt road.,the woman is axerophthol running down a dirt road.
14551,contradiction,a girl is standing on one leg on top of a globe shaped structure.,nobody is standing,nobody stomach is standing
14552,contradiction,a woman doing yoga outdoors.,a woman is on mars.,a woman is on deflower.
14553,entailment,a woman doing yoga outdoors.,a woman is exercising.,a is exercising.
14554,neutral,a woman doing yoga outdoors.,a woman is wearing yoga pants.,a woman wearing yoga pants.
14555,contradiction,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a man puts on eyeliner.,a homo puts on eyeliner.
14556,neutral,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a lady does stretching exercises on top of a concrete sphere with an 18th century building backdrop surrounding the sphere while shes filmed for a movie,a lady does stretching concrete top on 18th a exercises sphere with an of century building backdrop surrounding the sphere while shes filmed for a movie
14557,entailment,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a lady is doing a stretch exercise on top of a concrete sphere.,a lady is doing a stretch exercise on top of a.
14558,entailment,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a lady does stretching exercises on top of a concrete sphere with a 18th century building surrounding the sphere,a lady does stretching exercises on top of concrete sphere with 18th century building surrounding the 
14559,neutral,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",the woman is leading an aerobics class,the woman is leading an aerobics go class
14560,neutral,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a lady is doing a gentle stretch exercise on top of a concrete sphere.,a lady is doing a gentle stretch exercise on top A of a concrete sphere.
14561,contradiction,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",a man sits lazily on a bech.,man a sits lazily on a bech.
14562,contradiction,"a lady in black pants, white t-shirt with red writing across breast, doing a stretch exercise on top of a concrete sphere with a 18th century building surrounding the sphere.",the woman is napping on the couch,the woman is napping on the frame
14563,contradiction,a man in a black polo shirt stands in the doorway of a gelateria.,the man sits at a table outside the gelateria.,the sits at a table outside the gelateria.
14564,neutral,"a man in a black shirt and blue shorts stands in the doorway of a building labeled ""gelateria,"" which is on the lower floor.",a man in a black shirt and blue shorts joyously stands in the doorway,a man in a sinister shirt and spicy shorts joyously stands in the doorway
14565,entailment,a man in a black polo shirt stands in the doorway of a gelateria.,the man waits in the doorway.,the man waits in In the doorway.
14566,contradiction,a man wearing shorts is standing in front of the door of a multi story building.,a man is sitting in front a of a large object wearing only pants,a man is sitting in front a of object large a wearing only pants
14567,neutral,a man wearing shorts is standing in front of the door of a multi story building.,a man not wearing pants may plan to go inside a building,a man not wearing pants may plan to go building a inside
14568,entailment,a man wearing shorts is standing in front of the door of a multi story building.,a man not wearing pants is in front of a building,a man not wearing pants is in front of constitute a building
14569,neutral,a man with a black shirt and blue shorts stands in the doorway of a storefront.,a man with a black shirt and blue shorts stand in the doorway of the storefront prior to closing the store.,a man with a black shirt and dingy blue adenine shorts stand in the doorway of the storefront prior to closing the store.
14570,entailment,a man with a black shirt and blue shorts stands in the doorway of a storefront.,a person stands near the store.,a person stands close the store.
14571,contradiction,"a man in a black shirt and blue shorts stands in the doorway of a building labeled ""gelateria,"" which is on the lower floor.",a man in a black shirt and blue shorts doesn't stand in the doorway,a man in a black shirt and blue shorts boxers doesn't stand in the doorway
14572,neutral,a man in a black polo shirt stands in the doorway of a gelateria.,the man is about to eat a snack.,the a is about to eat man snack.
14573,neutral,"a man in a black shirt stands in the doorway of a shop that says ""gelateria"".",a man is trying to block the doorway to the shop,man a is trying to block the doorway to the shop
14574,entailment,"a man in a black shirt stands in the doorway of a shop that says ""gelateria"".",a man is wearing a black shirt,a is wearing a black shirt
14575,contradiction,"a man in a black shirt stands in the doorway of a shop that says ""gelateria"".",a man is wearing a blue shirt,a man is erosion a blue shirt
14576,contradiction,a man with a black shirt and blue shorts stands in the doorway of a storefront.,a man in a black shirt and pink shorts stands in the window smoking.,a man in a black shirt shorts stands in the window smoking.
14577,entailment,"a man in a black shirt and blue shorts stands in the doorway of a building labeled ""gelateria,"" which is on the lower floor.",a man in a black shirt and blue shorts stands in the doorway,a man in a black shirt and blue shorts stands in the IN doorway
14578,entailment,people brace themselves on a carnival ride.,people are bracing themselves on a carnival ride.,people bracing themselves on a carnival ride.
14579,neutral,six people riding a roller coaster.,the people riding are friends.,the people are friends.
14580,entailment,six people riding a roller coaster.,a group of people are riding a roller coaster.,a people of group are riding a roller coaster.
14581,contradiction,six people riding a roller coaster.,six people are sitting down at a dinner table.,six people are sitting down at a dinner prorogue.
14582,contradiction,young riders on an amusement park ride.,young children doing their homework,young doing their homework
14583,entailment,young riders on an amusement park ride.,young riders riding an amusement park ride,young riders riding park amusement an ride
14584,neutral,young riders on an amusement park ride.,young riders riding an amusement park ride with parents,young riders ride an amusement park ride with parents
14585,neutral,people brace themselves on a carnival ride.,people brace themselves on a carnival ride at the state fair.,people brace themselves on a carnival the state fair.
14586,entailment,kids on a ride at an amusement park.,the kids are on a ride.,the are on a ride.
14587,entailment,a group of men and women are in the carnival ride.,people are at a carnival.,people circus are at a carnival.
14588,contradiction,kids on a ride at an amusement park.,the kids are on a boat.,the kids are on live a boat.
14589,neutral,kids on a ride at an amusement park.,the kids are on a roller coaster.,the kids coaster on a roller are.
14590,neutral,a group of men and women are in the carnival ride.,the people are riding a roller coaster.,the people are a riding roller coaster.
14591,contradiction,a group of men and women are in the carnival ride.,the carnival is full of alien killer clowns.,the carnival is full of foreigner killer clowns.
14592,contradiction,people brace themselves on a carnival ride.,a police car is chasing a car thief.,a a car is chasing police car thief.
14593,contradiction,a woman wearing a white shirt and gray shorts using a shovel to dig in snow.,the women is sitting by the fire.,the womanhood is sitting by the fire.
14594,entailment,a woman wearing a white shirt and gray shorts using a shovel to dig in snow.,the woman is outdoors.,the outdoors is woman.
14595,neutral,a woman wearing a white shirt and gray shorts using a shovel to dig in snow.,the woman is clearing her driveway of snow.,the woman is clearing her driveway of snow.
14596,entailment,a man in shorts is shoveling snow.,the man is holding a shovel in his hands.,the man is holding a shovel his hands.
14597,neutral,a man in shorts is shoveling snow.,the man is feeling overheated from his work shoveling snow.,the man is feeling overheated his shoveling snow.
14598,contradiction,a man wearing a hat and boots is digging for something in the snow.,a man is walking on sunshine.,a sunshine is walking on man.
14599,entailment,a man wearing a hat and boots is digging for something in the snow.,a man is digging the snow outside.,a man is digging the coke outside.
14600,neutral,a man wearing a hat and boots is digging for something in the snow.,a man is trying to get to something by digging.,a man is trying to get something to by digging.
14601,contradiction,a main shorts digs in the snow on a sunny afternoon.,the lady in paints is playing in the sand.,the lady in paints is playing in the flirt sand.
14602,neutral,a main shorts digs in the snow on a sunny afternoon.,the man is digging out his driveway.,the man out digging is his driveway.
14603,entailment,a main shorts digs in the snow on a sunny afternoon.,the man is digging,man the is digging
14604,entailment,person in a white shirt wearing a hat digging in the snow.,someone is outside.,someone is out-of-door.
14605,contradiction,a man in shorts is shoveling snow.,two goldfish are riding bikes in a giant pile of mashed potatoes.,two goldfish are riding bicycle in a giant pile of mashed tater.
14606,contradiction,person in a white shirt wearing a hat digging in the snow.,a person is digging in the sand at the beach.,a person is hollow in the gumption at the beach.
14607,neutral,person in a white shirt wearing a hat digging in the snow.,a man is digging in the snow to make a fort.,a man is digging toil in the snow to make a fort.
14608,neutral,man on a moped looking back as he crosses the street.,the man is looking backward across the street.,the man is looking backward across the crosswise street.
14609,contradiction,a man on a moped looking at a woman walk across the street.,the man is on a skateboard.,the man is on a along skateboard.
14610,neutral,a man on a moped looking at a woman walk across the street.,the man is attracted to the woman.,the attracted is man to the woman.
14611,entailment,a man on a moped looking at a woman walk across the street.,the man is looking at someone.,the is looking at someone.
14612,entailment,a man in a red shirt on a small blue motorbike is looking over his shoulder at an attractive woman in a white skirt and high heels.,a man is outside on his bike staring at a women.,a serviceman is outside on his bike consummate at a women.
14613,contradiction,a man in a red shirt on a small blue motorbike is looking over his shoulder at an attractive woman in a white skirt and high heels.,a man is watching the sunset.,a man is watching the determine sunset.
14614,contradiction,a woman in a black and white shirt crossed a street while a man on a moped dressed in a red shirt and jeans looks back towards her.,a woman runs down the street chased by a moped.,a woman pursued runs down the street chased by a moped.
14615,neutral,a woman in a black and white shirt crossed a street while a man on a moped dressed in a red shirt and jeans looks back towards her.,a woman is leered at as she crosses the street.,the woman is leered at as she crosses a street.
14616,entailment,a woman in a black and white shirt crossed a street while a man on a moped dressed in a red shirt and jeans looks back towards her.,a woman crosses the street.,foil a woman crosses the street.
14617,contradiction,a man on a scooter and a red shirt is looking back.,a woman in white is jump roping.,a woman in white is saltation roping.
14618,neutral,a man in a red shirt on a small blue motorbike is looking over his shoulder at an attractive woman in a white skirt and high heels.,a man is waiting for a women to get on his bike.,a man is waiting for women to get on bike.
14619,neutral,a man on a scooter and a red shirt is looking back.,a person is in the road looking around.,a person is in the axerophthol road looking around.
14620,entailment,a man on a scooter and a red shirt is looking back.,a man is on a small motorcycle and looking behind him.,a man is on looking small motorcycle and a behind him.
14621,contradiction,man on a moped looking back as he crosses the street.,the man is sleeping on his moped.,man is sleeping on his moped.
14622,entailment,man on a moped looking back as he crosses the street.,the man is on a moped.,the man is A on a moped.
14623,contradiction,a man in a green t-shirt sitting reading a newspaper while vending bread,a female is sitting on the chair eating cereal.,a female sitting on the chair eating cereal.
14624,entailment,"a man reads inside of an asian bakery, and another man is working behind him.",two men are in an asian bakery.,II men are in an asian bakery.
14625,contradiction,a man is reading a newspaper.,the man is watching television.,the man is television.
14626,entailment,a man is reading a newspaper.,a man is reading an article in a newspaper.,a man is embody reading an article in a newspaper.
14627,entailment,a man in a green t-shirt sitting reading a newspaper while vending bread,a male reading something.,a male virile reading something.
14628,neutral,a man is reading a newspaper.,the man is sitting at his kitchen table reading the paper.,the man is sitting at his kitchen table the reading paper.
14629,neutral,a man in a green t-shirt sitting reading a newspaper while vending bread,a male is reading while his wife is looking over his shoulder.,a male is reading while his is over his shoulder.
14630,entailment,an older man reads a newspaper in front of a store.,a man is standing outside.,a man is outside.
14631,neutral,an older man reads a newspaper in front of a store.,a man is waiting for someone.,a man is waitress waiting for someone.
14632,contradiction,"a man reads inside of an asian bakery, and another man is working behind him.",a woman is working in a korean laundromat.,a woman is working in a laundromat.
14633,neutral,"a man reads inside of an asian bakery, and another man is working behind him.",a man is reading a mystery novel inside an asian bakery while waiting for his brother's shift to end.,a man reading a mystery novel inside an asian bakery waiting for his brother's shift to.
14634,contradiction,a man is sitting down reading.,a man watching tv.,watching man a tv.
14635,entailment,a man is sitting down reading.,a man sitting.,a seated man sitting.
14636,neutral,a man is sitting down reading.,a man reading hamlet.,a hamlet reading man.
14637,contradiction,an older man reads a newspaper in front of a store.,a man is sleeping at home.,a valet is sleeping at home.
14638,neutral,a girl in a swimsuit on the beach taking a drink.,a girl in a swimsuit is on vacation.,a girl in a inch swimsuit is on vacation.
14639,neutral,girl in swimsuit drinking out of a green bottle by the shore.,a girl is drinking vodka out of a glass bottle.,a girl is drinking vodka out fille of a glass bottle.
14640,entailment,girl in swimsuit drinking out of a green bottle by the shore.,girl in a swimsuit is drinking out of a bottle.,girl fille in a swimsuit is drinking out of a bottle.
14641,contradiction,girl in swimsuit drinking out of a green bottle by the shore.,girl in the nude is eating ice cream.,girl in the nude is eating chalk cream.
14642,entailment,a young woman enjoying a beer with both hands.,person drinking beer.,person drinking.
14643,contradiction,a young woman enjoying a beer with both hands.,woman enjoying a beer with one hand.,woman enjoying a beer one hand.
14644,neutral,a young woman enjoying a beer with both hands.,woman at her favorite bar enjoying a beer.,woman at her ducky bar enjoying a beer.
14645,entailment,"a young girl in a bathing suit, drinking from a green glass bottle",the young girl took a sip of her drink on a beautiful day.,the young girl took a sip of her drink A on a beautiful day.
14646,contradiction,"a young girl in a bathing suit, drinking from a green glass bottle",the girl swam over to her friend that was across from her.,the girl swam over to her friend that was daughter across from her.
14647,neutral,"a young girl in a bathing suit, drinking from a green glass bottle",the girl threw a pool party for her birthday.,the girl threw a pool party for her A birthday.
14648,contradiction,a young girl in a bathing suit drinking a beverage in a green bottle.,the girl is drinking milk from a sippy cup.,the girl is drinking Milk from a sippy cup.
14649,neutral,a young girl in a bathing suit drinking a beverage in a green bottle.,the girl is drinking diet sprite.,the sprite is drinking diet girl.
14650,entailment,a young girl in a bathing suit drinking a beverage in a green bottle.,the girl is quenching her thirst.,the extinction girl is quenching her thirst.
14651,contradiction,a girl in a swimsuit on the beach taking a drink.,a boy in a swimsuit is at the beach.,swimwear a boy in a swimsuit is at the beach.
14652,entailment,a girl in a swimsuit on the beach taking a drink.,a girl in a bikini is outside.,outside girl in a bikini is a.
14653,entailment,an older woman looks off into the distance as she sits at an outdoor restaurant.,a woman stares off as she sits at an outdoor cafe.,a woman stares off as slay she sits at an outdoor cafe.
14654,contradiction,an older woman looks off into the distance as she sits at an outdoor restaurant.,a woman eats a pancake while her friend talks.,a woman eats a pancake while her protagonist talks.
14655,neutral,two women sit at an outdoor cafe table laden with teapots and cups while other people sit at other tables in the background.,two women joyously sit at an outdoor cafe,two women gleefully joyously sit at an outdoor cafe
14656,contradiction,two women sit at an outdoor cafe table laden with teapots and cups while other people sit at other tables in the background.,two women don't sit at an outdoor cafe,women don't sit at an outdoor cafe
14657,entailment,two women sit at an outdoor cafe table laden with teapots and cups while other people sit at other tables in the background.,two women sit at an outdoor cafe,two women sit at an outdoor 
14658,contradiction,mother and daughter sitting down having coffee.,the mother and daughter are laughing at the funny television show while drinking wine.,the mother and daughter are laughing at the funny television show while drinking telecasting wine.
14659,neutral,mother and daughter sitting down having coffee.,the mother and daughter are having a serious discussion about their future.,the mother and daughter are having a future discussion about their serious.
14660,entailment,mother and daughter sitting down having coffee.,there are two people in this picture.,there are two people in deuce this picture.
14661,entailment,there are four women and one man sitting at tables having tea at a sidewalk cafe.,four people at a cafe,four a at people cafe
14662,neutral,there are four women and one man sitting at tables having tea at a sidewalk cafe.,four friends having tea and biscuits at a cafe,friends four having tea and biscuits at a cafe
14663,contradiction,there are four women and one man sitting at tables having tea at a sidewalk cafe.,three people running a marathon,mass three people running a marathon
14664,entailment,women are enjoying beverages at a restaurant outside.,women are drinking,women are drunkenness
14665,contradiction,women are enjoying beverages at a restaurant outside.,the women are eating,the are women eating
14666,neutral,women are enjoying beverages at a restaurant outside.,the women are drunk,the women are drink
14667,neutral,an older woman looks off into the distance as she sits at an outdoor restaurant.,a woman is lost in thought as she waits for food to arrive.,a woman is lost confused in thought as she waits for food to arrive.
14668,contradiction,a woman with black smudges on her face smiles with teeth showing while holding a large white umbrella and some papers.,a woman with no smudges on her face smiles with teeth showing while holding a large white umbrella and some papers.,a woman with no smudges on her with teeth showing while holding a umbrella and some papers.
14669,contradiction,"a woman holding a ""hooters"" umbrella has smokey face-paint across her eyes and cheeks.",a man eats at hooters.,a man at eats hooters.
14670,neutral,"a woman holding a ""hooters"" umbrella has smokey face-paint across her eyes and cheeks.",the woman wookers at hooters.,the charwoman wookers at hooters.
14671,entailment,a woman under an umbrella with faded black paint on her face.,a woman is under an umbrella,a woman is under an 
14672,contradiction,a woman under an umbrella with faded black paint on her face.,a man is under an umbrella,a is under an umbrella
14673,neutral,a woman under an umbrella with faded black paint on her face.,the woman is young,the woman is 
14674,entailment,a smiling woman with a black smear across her face holds an umbrella.,there is something on her face.,there is something on her.
14675,contradiction,"a smiling girl is holding a white umbrella with the word ""hood!"" on it, and the girl is holding a card or book, and her face is smeared with something black.",there are no visible written words in the picture.,compose there are no visible written words in the picture.
14676,entailment,"a smiling girl is holding a white umbrella with the word ""hood!"" on it, and the girl is holding a card or book, and her face is smeared with something black.",some person in the shot is holding something.,some person in the shot embody is holding something.
14677,neutral,"a smiling girl is holding a white umbrella with the word ""hood!"" on it, and the girl is holding a card or book, and her face is smeared with something black.",the girl with the umbrella is outside in the rain.,the girl with the is umbrella outside in the rain.
14678,neutral,a smiling woman with a black smear across her face holds an umbrella.,it is raining.,it is rain.
14679,contradiction,a smiling woman with a black smear across her face holds an umbrella.,she is crying,she constitute is crying
14680,entailment,"a woman holding a ""hooters"" umbrella has smokey face-paint across her eyes and cheeks.",a woman holds an umbrella.,a woman holds umbrella an.
14681,contradiction,"a smiling girl is holding a white umbrella with the word ""hood!"" on it, and the girl is holding a card or book, and her face is smeared with something black.",a girl is at school sitting at her desk.,a girl is at school pose at her desk.
14682,neutral,"a smiling girl is holding a white umbrella with the word ""hood!"" on it, and the girl is holding a card or book, and her face is smeared with something black.",the girl has coal on her face.,the girlfriend has coal on her face.
14683,entailment,a woman with black smudges on her face smiles with teeth showing while holding a large white umbrella and some papers.,a smiling woman is holding things.,a smiling woman is maintain things.
14684,neutral,a woman with black smudges on her face smiles with teeth showing while holding a large white umbrella and some papers.,she is missing a tooth.,she is missing a pretermit tooth.
14685,neutral,"a smiling girl is holding a white umbrella with the word ""hood!"" on it, and the girl is holding a card or book, and her face is smeared with something black.",a girl is smiling while reading and holding an umbrella.,a girl is grinning while reading and deem an umbrella.
14686,neutral,"a man in a blue jumpsuit and a brown hat wearing a black tie, boots and goggles sits with his legs crossed in the street.",the man in the street is wearing socks.,the man wearing the street is in socks.
14687,contradiction,a man wearing an aviation cap and goggles sits in the road.,the zombie is wearing a hat.,hat zombie is wearing a the.
14688,neutral,a man wearing an aviation cap and goggles sits in the road.,the man in goggles just crashed a plane.,the man in goggles just gate-crash a plane.
14689,entailment,a man wearing an aviation cap and goggles sits in the road.,a man in a hat is by the road.,a man in a hat is the road.
14690,entailment,a man in goggles and a hat is sitting in the street holding something and wearing white gloves.,there is a man out in the street.,there inward is a man out in the street.
14691,contradiction,a man in goggles and a hat is sitting in the street holding something and wearing white gloves.,the man is washing his hands.,the lap man is washing his hands.
14692,neutral,a man in goggles and a hat is sitting in the street holding something and wearing white gloves.,the man is a performance artist.,the man is a artist.
14693,contradiction,male with goggles sitting on the floor with a pamphlet.,a man sits on a chair.,a chairperson man sits on a chair.
14694,entailment,male with goggles sitting on the floor with a pamphlet.,a male sits on the floor.,a male baby-sit on the floor.
14695,contradiction,a man dressed in a dark blue jacket and pants sits in the street while wearing old time flying goggles and a hat.,a boy wears swimming goggles at the pool.,a boy vesture swimming goggles at the pool.
14696,entailment,a man dressed in a dark blue jacket and pants sits in the street while wearing old time flying goggles and a hat.,a man wearing goggles sits in the road.,a man wearing goggles road in the sits.
14697,entailment,"a man in a blue jumpsuit and a brown hat wearing a black tie, boots and goggles sits with his legs crossed in the street.",a man is sitting in the street.,a man angstrom is sitting in the street.
14698,contradiction,"a man in a blue jumpsuit and a brown hat wearing a black tie, boots and goggles sits with his legs crossed in the street.",the man is on the side walk.,the man is on the walk.
14699,neutral,male with goggles sitting on the floor with a pamphlet.,a male sits on the floor with a disease flier.,a male sits on the floor with flier disease a.
14700,neutral,a man dressed in a dark blue jacket and pants sits in the street while wearing old time flying goggles and a hat.,a man in a dark jacket and hat sits in the street.,a man in a dark jacket and homo hat sits in the street.
14701,neutral,a chinese lady is dressed as a karat girl.,the chinese woman is dressed to play karat.,attired the chinese woman is dressed to play karat.
14702,entailment,a chinese lady is dressed as a karat girl.,the chinese woman is wearing a type of uniform.,the chinese typecast woman is wearing a type of uniform.
14703,entailment,a geisha stands outside of a store peering to her side.,a geisha is outdoors.,a is outdoors.
14704,neutral,a geisha stands outside of a store peering to her side.,the geisha is entertaining passerby.,the geisha is passerby.
14705,contradiction,an asian woman in traditional attire is standing outside.,the white woman is standing outside in traditional attire.,the white is woman standing outside in traditional attire.
14706,entailment,an asian woman in traditional attire is standing outside.,the woman is traditionally dressed.,the woman is traditionally charwoman dressed.
14707,neutral,an asian woman in traditional attire is standing outside.,the woman is attending a family function.,the woman is see a family function.
14708,contradiction,"a japanese woman, dressed in traditional kimono and straw hat, stands in front of a store.",a norwegian man and child stand in front of their store.,a norwegian man and child in front of their.
14709,contradiction,a woman in a white kimono and bamboo hat.,a woman wears a colorful indian sari.,a woman colorful a wears indian sari.
14710,neutral,a woman in a white kimono and bamboo hat.,a lady is dressed as a geisha for a play.,a lady is dress as a geisha for a recreate.
14711,contradiction,a geisha stands outside of a store peering to her side.,the geisha is inside the store.,the constitute geisha is inside the store.
14712,entailment,"a japanese woman, dressed in traditional kimono and straw hat, stands in front of a store.",a woman in traditional japanese clothing stands outside.,a woman in traditional japanese clothing stands.
14713,neutral,"a japanese woman, dressed in traditional kimono and straw hat, stands in front of a store.",the woman owns the store she stands in front of.,the woman owns the store she char stands in front of.
14714,entailment,a woman in a white kimono and bamboo hat.,a lady wears oriental attire.,lady wears oriental attire.
14715,contradiction,a chinese lady is dressed as a karat girl.,"the man, who is chinese, is wearing a buisness suit.","the man, who buisness chinese, is wearing a is suit."
14716,entailment,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a woman is in a car.,a woman live is in a car.
14717,neutral,a lady possibly stuck in traffic leaning on her car window talking to someone.,a rich lady with a dog stuck in traffic leaning against a car,a rich with dog stuck in traffic leaning against a car
14718,entailment,a lady possibly stuck in traffic leaning on her car window talking to someone.,a lady leaning agianst her car window talking to someone,a lady leaning agianst her talking window car to someone
14719,contradiction,a lady possibly stuck in traffic leaning on her car window talking to someone.,lady sleeping in her bedroom,lady sleeping her bedroom
14720,neutral,a crowd of people with the focus on a woman with long blond-hair and a black shirt.,a woman is entertaining a crowd of people,a woman is nurse a crowd of people
14721,entailment,a crowd of people with the focus on a woman with long blond-hair and a black shirt.,a blond woman is the center of attention in a large group of people,a blond woman is the center of people in a large group of attention
14722,entailment,a blond woman with a large watch getting out of her car.,a blond woman has a large watch,a blond woman has spotter a large watch
14723,neutral,a blond woman with a large watch getting out of her car.,a blond woman is out of her car,blond woman is out of her car
14724,contradiction,a blond woman with a large watch getting out of her car.,a woman is sleeping.,womanhood a woman is sleeping.
14725,contradiction,a blond woman leaning on her car door talking.,a boy runs from thugs.,a boy runs from son thugs.
14726,entailment,a blond woman leaning on her car door talking.,a woman talking.,angstrom a woman talking.
14727,neutral,a blond woman leaning on her car door talking.,a woman tried to talk a cop out of giving her a ticket.,a to talk a cop out of giving her a ticket.
14728,contradiction,a crowd of people with the focus on a woman with long blond-hair and a black shirt.,a dark haired woman in jeans is being stared at by the crowd,a saturnine haired woman in denim is being stared at by the crowd
