,label,original,hypothesis,modified
13467,entailment,"lady with her hair up in a bun, in a tank top and khakis looking at a bright light.",lady is looking at a bright light.,lady is looking at a bright light.
13468,entailment,a woman kneels in front of a fire.,a woman is by a fire.,a woman is by a fire.
13469,neutral,a girl working blowing glass into a image.,woman creates glass art,woman creates glass art
13470,contradiction,a woman is sitting on a bench while facing a bright fire.,a man watches his house burn,a man watches his house burn
13471,contradiction,a girl working blowing glass into a image.,man forges counterfeit money,man forges counterfeit money
13472,entailment,a girl working blowing glass into a image.,glass blower at work,glass blower at work
13473,neutral,a woman is sitting on a bench while facing a bright fire.,a woman is watching a bonfire,a woman is watching a bonfire
13474,neutral,two men are in a cherry picker looking at the billboard which has a picture of a blond woman on it.,the blond woman in the billboard is famous.,the blond woman in the billboard is famous.
13475,contradiction,men working on a billboard.,women are painting a fence.,women are painting a fence.
13476,entailment,men working on a billboard.,men are putting up a billboard.,men are putting up a billboard.
13477,neutral,men working on a billboard.,men are putting up a billboard in hollywood.,men are putting up a billboard in hollywood.
13478,contradiction,a large billboard of a woman wearing a white shirt and lavender cami is being hung by 2 people in mechanical lift and one man standing on the ledge behind the billboard.,and whistle and warble a lively sprong.,and whistle and warble a lively sprong.
13479,neutral,two men on a cherry picker putting up a billboard of a woman.,two men in a cherry picker are putting up a billboard of a very famous celebrity.,two men in a cherry picker are putting up a billboard of a very famous celebrity.
13480,entailment,two men on a cherry picker putting up a billboard of a woman.,two men are on a cherry picker.,two men are on a cherry picker.
13481,contradiction,two men on a cherry picker putting up a billboard of a woman.,two men are eating doughnuts in a car.,two men are eating doughnuts in a car.
13482,entailment,"a billboard of a woman, with three men, two in a lift, and one on top of the billboard.",there is a billboard of a woman.,there's a billboard of a woman.
13483,contradiction,"a billboard of a woman, with three men, two in a lift, and one on top of the billboard.",the billboard has a cat on it.,the billboard has a cat on it.
13484,entailment,a large billboard of a woman wearing a white shirt and lavender cami is being hung by 2 people in mechanical lift and one man standing on the ledge behind the billboard.,a sign is being posted.,a sign is being posted.
13485,neutral,a large billboard of a woman wearing a white shirt and lavender cami is being hung by 2 people in mechanical lift and one man standing on the ledge behind the billboard.,people are nearby.,people are nearby.
13486,neutral,"a billboard of a woman, with three men, two in a lift, and one on top of the billboard.",the men are working on the billboard.,the men are working on the billboard.
13487,contradiction,two men are in a cherry picker looking at the billboard which has a picture of a blond woman on it.,there is a gorilla on the billboard.,there's a gorilla on the billboard.
13488,entailment,two men are in a cherry picker looking at the billboard which has a picture of a blond woman on it.,the men are looking at a billboard.,the men are looking at a billboard.
13489,entailment,a woman is kneeling down near the water.,a woman is kneeling.,a woman is kneeling.
13490,neutral,a black-haired woman in yellow and orange is doing work near the water.,the tourist director works near the water.,the tourist director works near the water.
13491,neutral,a lady by the water is grasping a black pot.,the lady is planting flowers by the water in the black pot.,the lady is planting flowers by the water in the black pot.
13492,contradiction,a lady by the water is grasping a black pot.,the lady is standing next to the pot.,the lady is standing next to the pot.
13493,neutral,a woman working next to the water.,woman working,woman working
13494,contradiction,a woman working next to the water.,woman shopping,woman shopping
13495,entailment,a woman working next to the water.,women worker near water,women worker near water
13496,neutral,a woman is kneeling down near the water.,the water is cold.,the water is cold.
13497,contradiction,a black-haired woman in yellow and orange is doing work near the water.,the man in green workes near the ditch.,the man in green workes near the ditch.
13498,contradiction,a woman is kneeling down near the water.,the woman is standing.,the woman is standing.
13499,entailment,a lady by the water is grasping a black pot.,the pot is outside.,the pot is outside.
13500,entailment,an asian woman kneeling on the dock of her house.,an asian woman is outside,an asian woman is outside
13501,neutral,an asian woman kneeling on the dock of her house.,an asian woman is close to water,an asian woman is close to water
13502,contradiction,an asian woman kneeling on the dock of her house.,an asian woman is sleeping on the dock of her house,an asian woman is sleeping on the dock of her house
13503,entailment,a black-haired woman in yellow and orange is doing work near the water.,the woman works near the water.,the woman works near the water.
13504,entailment,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,a beach has footprints.,a beach has footprints.
13505,neutral,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,a woman is trying to follow someone's trail.,a woman is trying to follow someone's trail.
13506,neutral,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,the woman is on a morning run.,the woman is on a morning run.
13507,neutral,a woman carrying shoes is walking barefoot on the beach.,the woman is on vacation.,the woman is on vacation.
13508,contradiction,a woman carrying shoes is walking barefoot on the beach.,a woman sits on the beach.,a woman sits on the beach.
13509,neutral,a woman carrying shoes is walking barefoot on the beach.,a woman enjoys walking on the beach and feeling sand in between her toes.,a woman enjoys walking on the beach and feeling sand in between her toes.
13510,neutral,a woman carrying shoes is walking barefoot on the beach.,a woman is carrying her shoes because she doesn't want to get sand in them.,a woman is carrying her shoes because she does not want to get sand in them.
13511,contradiction,a woman carrying shoes is walking barefoot on the beach.,the woman is cooking dinner.,the woman is cooking dinner.
13512,contradiction,a woman carrying shoes is walking barefoot on the beach.,a woman wearing sneakers jogs by the beach,a woman wearing sneakers jogs by the beach
13513,entailment,a woman carrying shoes is walking barefoot on the beach.,a woman is carrying shoes.,a woman is carrying shoes.
13514,neutral,a woman carrying shoes is walking barefoot on the beach.,a woman carrying shoes for someone at the beach,a woman carrying shoes for someone at the beach
13515,entailment,a woman carrying shoes is walking barefoot on the beach.,the woman is outside.,the woman is outside.
13516,entailment,a woman carrying shoes is walking barefoot on the beach.,a woman walks on the beach.,a woman walks on the beach.
13517,contradiction,a woman carrying shoes is walking barefoot on the beach.,a woman is carrying hats.,a woman is carrying hats.
13518,neutral,a woman carrying shoes is walking barefoot on the beach.,a woman is carrying white shoes.,a woman is carrying white shoes.
13519,entailment,a woman carrying shoes is walking barefoot on the beach.,a woman walks barefoot by the ocean,a woman walks barefoot by the ocean
13520,entailment,a woman carrying shoes is walking barefoot on the beach.,a woman is walking barefoot on the beach.,a woman is walking barefoot on the beach.
13521,contradiction,a woman carrying shoes is walking barefoot on the beach.,a woman is walking on the beach with her shoes on.,a woman is walking on the beach with her shoes on.
13522,contradiction,a child hold green shoes is walking in the sand by the water.,a child is walking in the sand in the dessert.,a child is walking in the sand in the dessert.
13523,neutral,a child hold green shoes is walking in the sand by the water.,a child is dressed up.,a child is dressed up.
13524,entailment,a child hold green shoes is walking in the sand by the water.,a child is wearing shoes.,a child is wearing shoes.
13525,contradiction,a woman walks in the sand as she carries her shoes.,a woman in high heels strugles up a mountain,a woman in high heels strugles up a mountain
13526,entailment,a woman walks in the sand as she carries her shoes.,a person walks around outside,a person walks around outside
13527,neutral,a woman walks in the sand as she carries her shoes.,a women is at the beach,a women is at the beach
13528,neutral,"a person is walking along the beach, making footprints while holding their shoes.",a person walking on the beach at sunset,a person walking on the beach at sunset
13529,contradiction,"a person is walking along the beach, making footprints while holding their shoes.",a person sleeping on the beach,a person sleeping on the beach
13530,entailment,"a person is walking along the beach, making footprints while holding their shoes.",a person walking on the beach,a person walking on the beach
13531,entailment,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,a woman retraces someones footsteps at the beach,a woman retraces someones footsteps at the beach
13532,entailment,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,a woman has a jacket.,a woman has a jacket.
13533,contradiction,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,the woman is topless.,the woman is topless.
13534,entailment,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,the woman is barefoot.,the woman is barefoot.
13535,contradiction,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,a woman doesn't have a jacket.,a woman does not have a jacket.
13536,neutral,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,there is a person ahead of her who she follows.,there's a person ahead of her who she follows.
13537,contradiction,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,a woman walks in an unexplored section of the beach,a woman walks in an unexplored section of the beach
13538,contradiction,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,a woman without a jacket gets sand in her shoes as she walks down the beach.,a woman without a jacket gets sand in her shoes as she walks down the beach.
13539,neutral,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,a woman has a clean jacket.,a woman has a clean jacket.
13540,neutral,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,a woman carries her shoes threw her shoe tracks,a woman carries her shoes threw her shoe tracks
13541,entailment,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,there are people on the beach.,there are people on the beach.
13542,contradiction,a woman in a jacket walks on the beach in someone's footprints while holding her shoes in her hands.,the woman is at a green park.,the woman is at a green park.
13543,contradiction,the gray and white dog is walking on gravel.,peopl;e were on grass,peopl;e were on grass
13544,contradiction,a black and white puppy runs along the gravel road.,a puppy laying on a gravel road,a puppy laying on a gravel road
13545,neutral,a black and white puppy runs along the gravel road.,a puppy chasing a car down a gravel road,a puppy chasing a car down a gravel road
13546,entailment,a small black and white puppy running along a gravel path next to a larger dog in the background.,two dogs are currently outdoors.,two dogs are currently outdoors.
13547,neutral,a small black and white puppy running along a gravel path next to a larger dog in the background.,a small dog is trying to keep up with a larger dog.,a small dog is trying to keep up with a larger dog.
13548,contradiction,a small black and white puppy running along a gravel path next to a larger dog in the background.,two dogs are sleeping in a large bed.,two dogs are sleeping in a large bed.
13549,neutral,a black and white puppy with ears straight up is running.,a puppy is running to his owner.,a puppy is running to his owner.
13550,entailment,a black and white puppy with ears straight up is running.,a puppy is running.,a puppy is running.
13551,contradiction,a black and white puppy with ears straight up is running.,a dog is standing still.,a dog is standing still.
13552,neutral,a small black and white dog.,"two small dogs, each a different color","two small dogs, each a different color"
13553,entailment,a small black and white dog.,"two small dogs, one black and one white","two small dogs, two black and one white"
13554,contradiction,a small black and white dog.,two small dogs both of the same color,two small dogs both of the same color
13555,neutral,the gray and white dog is walking on gravel.,the child was happy`,the child was happy`
13556,contradiction,the gray and white dog is walking on gravel.,they hated each other,they hated each other
13557,entailment,a black and white puppy runs along the gravel road.,a puppy runs down a road,a puppy runs down a road
13558,entailment,woman in orange jacket playing with a black dog,the woman has on clothing.,the woman has on clothing.
13559,neutral,a person in an orange coat prepares to throw a stick to a black dog.,the man and dog were outside,the man and dog were outside
13560,entailment,a person playing with her large black dog.,a person playing with a black dog.,a person playing with a black dog.
13561,neutral,a person playing with her large black dog.,a person is playing catch with a dog.,a person is playing catch with a dog.
13562,entailment,a man in an orange shirt plays fetch with a black french poodle,the man is playinh with a dog.,the man is playinh with a dog.
13563,contradiction,a person playing with her large black dog.,a person is feeding her dog.,a person is feeding her dog.
13564,entailment,a person in an orange coat prepares to throw a stick to a black dog.,the man was playing with his dog,the man was playing with his dog
13565,neutral,a woman holding a stick out for a dog.,a woman playing with her dog.,a woman playing with her dog.
13566,entailment,a woman holding a stick out for a dog.,a woman carrying a stick.,a woman carrying a stick.
13567,contradiction,a woman holding a stick out for a dog.,a woman sitting with her cat.,a woman sitting with her cat.
13568,contradiction,a man in an orange shirt plays fetch with a black french poodle,the man is giving his dog a shower.,the man is giving his dog a shower.
13569,contradiction,woman in orange jacket playing with a black dog,the woman is alone in the computer lab.,the woman is alone in the computer lab.
13570,neutral,woman in orange jacket playing with a black dog,the woman is the dog's owner.,the woman is the dog's owner.
13571,neutral,a man in an orange shirt plays fetch with a black french poodle,the man is trying to teach his poodle how to do a new trick.,the man is trying to teach his poodle how to do a new trick.
13572,contradiction,a person in an orange coat prepares to throw a stick to a black dog.,the woman took her cat to the vet,the woman took her cat to the vet
13573,entailment,a woman with blond-hair is smiling and putting on a white sweater.,a person is dressing.,a person is dressing.
13574,entailment,a blond woman with her hair up is taking off a white sweatshirt.,a woman is blonde,a woman is blonde
13575,neutral,a blond woman with her hair up is taking off a white sweatshirt.,a woman is getting undressed.,a woman is getting undressed.
13576,entailment,a blond-haired lady in white poses for the camera.,the model poses for the photo shoot.,the model poses for the photo shoot.
13577,neutral,a blond-haired lady in white poses for the camera.,the model in white is posing like marilyn monroe.,the model in white is posing like marilyn monroe.
13578,contradiction,a blond-haired lady in white poses for the camera.,the blond-haired model is passed out drunk.,the blond-haired model is passed out drunk.
13579,contradiction,a blond woman with her hair up is taking off a white sweatshirt.,a woman is taking off a blue shirt.,a woman is taking off a blue shirt.
13580,contradiction,a woman with blond-hair is smiling and putting on a white sweater.,a woman is feeding an elephant at the zoo.,a woman is feeding an elephant at the zoo.
13581,contradiction,a girl with a white sweatshirt and blond-hair is smiling.,the boy is smiling,the boy is smiling
13582,neutral,a woman poses for a picture outdoors.,a woman poses for a photo in a field.,a woman poses for a photo in a field.
13583,entailment,a woman poses for a picture outdoors.,a woman poses for a photo outside.,a woman poses for a photo outside.
13584,contradiction,a woman poses for a picture outdoors.,a woman is taking a walk in the building.,a woman is taking a walk in the building.
13585,neutral,a woman with blond-hair is smiling and putting on a white sweater.,a woman wearing black pants is putting on a white sweater.,a woman wearing black pants is putting on a white sweater.
13586,neutral,a girl with a white sweatshirt and blond-hair is smiling.,the girl is wearing a sweatshirt with a logo.,the girl is wearing a sweatshirt with a logo.
13587,entailment,a girl with a white sweatshirt and blond-hair is smiling.,the girl is wearing white.,the girl is wearing white.
13588,neutral,a woman wearing a black helmet riding on a bike,a woman is riding her bike to work.,a woman is riding her bike to work.
13589,neutral,"a girl on a bike is wearing a backpack and a helmet, and riding through a wooded area.",girl looking for friends,girl looking for friends
13590,entailment,a woman wearing a black helmet riding on a bike,a woman is riding a bike.,a woman is riding a bike.
13591,entailment,"a girl on a bike is wearing a backpack and a helmet, and riding through a wooded area.",girl on her bike,girl on her bike
13592,contradiction,"a girl on a bike is wearing a backpack and a helmet, and riding through a wooded area.",snake looks at bird,snake looks at bird
13593,neutral,a biker bikes through the woods.,they are practicing for a race.,they're practicing for a race.
13594,contradiction,a biker bikes through the woods.,a person runs in the woods.,a person runs in the woods.
13595,entailment,a biker bikes through the woods.,a person rides a bike in the woods.,a person rides a bike in the woods.
13596,neutral,a woman rides her bike by some trees.,woman enjoys day off,woman enjoys day off
13597,entailment,a mountain biker rides in the woods.,a biker in the woods.,a biker in the woods.
13598,neutral,a mountain biker rides in the woods.,a woman rides a bike on a trail.,a woman rides a bike on a trail.
13599,contradiction,a mountain biker rides in the woods.,a person drives a car.,a person drives a car.
13600,contradiction,a woman rides her bike by some trees.,horse runs from bull,horse runs from bull
13601,entailment,a woman rides her bike by some trees.,woman on bike,woman on bike
13602,contradiction,a woman wearing a black helmet riding on a bike,a man is sleeping alone in bed.,a man is sleeping alone in bed.
13603,neutral,a young boy with a cast on his arm is lying on a hospital bed.,a boy waits for his doctor to examine his arm.,a boy waits for his doctor to examine his arm.
13604,contradiction,a young boy with a broken arm sleeping in a hospital bed.,a boy plays patty cake outside of his home.,a boy plays patty cake outside of his home.
13605,neutral,a young boy with a broken arm sleeping in a hospital bed.,a young boy rests in the hospital after breaking his arm jumping from a roof.,a young boy rests in the hospital after breaking his arm jumping from a roof.
13606,contradiction,a boy sleeps in a hospital bed while wearing a cast on his arm.,a girl dancing on the sidewalk,a girl dancing on the sidewalk
13607,entailment,a boy sleeps in a hospital bed while wearing a cast on his arm.,a boy laying in a bed,a boy laying in a bed
13608,neutral,a boy sleeps in a hospital bed while wearing a cast on his arm.,a boy with two broken arms in a hospital bed,a boy with two broken arms in a hospital bed
13609,entailment,a boy wearing an arm cast lying in a hospital bed,the boy was recently injured.,the boy was recently injured.
13610,neutral,a boy wearing an arm cast lying in a hospital bed,the boy fell recently.,the boy fell recently.
13611,contradiction,a boy wearing an arm cast lying in a hospital bed,the boy is at a dance party,the boy is at a dance party
13612,neutral,a boy with an injured right arm and wearing blue shorts is lying on a bed with a towel.,the boy is lying on a queen sized bed.,the boy is lying on a queen sized bed.
13613,entailment,a boy with an injured right arm and wearing blue shorts is lying on a bed with a towel.,the boy is laying on something.,the boy is laying on something.
13614,contradiction,a boy with an injured right arm and wearing blue shorts is lying on a bed with a towel.,the boy is running around.,the boy is running around.
13615,entailment,a young boy with a cast on his arm is lying on a hospital bed.,a young boy with an injured arm.,a young boy with an injured arm.
13616,contradiction,a young boy with a cast on his arm is lying on a hospital bed.,a boy dancing in the school cafeteria.,a boy dancing in the school cafeteria.
13617,entailment,a young boy with a broken arm sleeping in a hospital bed.,a young boy rests in the hospital.,a young boy rests in the hospital.
13618,entailment,two girls lean over and look at something in a case.,two girls are leaning,two girls are leaning
13619,entailment,two woman looking into a glass case.,the two woman are looking.,the two woman are looking.
13620,neutral,a young woman in a bikini looking at something in a glass case.,a lady shopping.,a lady shopping.
13621,contradiction,two woman looking into a glass case.,the two women are sleeping together.,the two women are sleeping together.
13622,neutral,two woman looking into a glass case.,the two woman are next to a glass case,the two woman are next to a glass case
13623,contradiction,two girls lean over and look at something in a case.,the girls are asleep,the girls are asleep
13624,contradiction,a young woman in a bikini looking at something in a glass case.,a naked woman playing piano.,a naked woman playing piano.
13625,entailment,a young woman in a bikini looking at something in a glass case.,a lady in a swimsuit checking things out.,a lady in a swimsuit checking things out.
13626,contradiction,two women are looking into a glass case.,two women are playing cards,two women are playing cards
13627,entailment,two women are looking into a glass case.,two ladies are looking at something,two ladies are looking at something
13628,neutral,two girls lean over and look at something in a case.,the girls are sweaty,the girls are sweaty
13629,neutral,a woman wearing a bathing suit points in a case as another looks on.,a woman looks for sunscreen.,a woman looks for sunscreen.
13630,neutral,two women are looking into a glass case.,two women are shopping,two women are shopping
13631,entailment,a woman wearing a bathing suit points in a case as another looks on.,a woman with a case.,a woman with a case.
13632,contradiction,a woman wearing a bathing suit points in a case as another looks on.,a woman in a coat shovels snow.,a woman in a coat shovels snow.
13633,neutral,construction workers work on railroad tracks at night.,there are construction workers that love their job.,there are construction workers that love their job.
13634,entailment,construction workers work on railroad tracks at night.,there are construction workers.,there are construction workers.
13635,entailment,workers standing in a work zone.,workers are standing around,workers are standing around
13636,neutral,workers standing in a work zone.,workers are hard at work,workers are hard at work
13637,contradiction,workers standing in a work zone.,we are riding in the danger zone,we're riding in the danger zone
13638,neutral,construction workers stand near tracks at night.,workers are taking a break near the tracks.,workers are taking a break near the tracks.
13639,neutral,construction workers stand near tracks at night.,huge people standing,huge people standing
13640,neutral,construction workers stand near tracks at night.,"the crew works well into the night, they finally get to take well deserved break.","the crew works well into the night, they finally get to take well deserved break."
13641,contradiction,construction workers stand near tracks at night.,dancers are practicing near tracks in the middle of the day.,dancers are practicing near tracks in the middle of the day.
13642,entailment,construction workers stand near tracks at night.,the workers at standing outside.,the workers at standing outside.
13643,contradiction,construction workers stand near tracks at night.,a cat drinks water,a cat drinks water
13644,neutral,construction workers stand near tracks at night.,lots of work for them tonight,lots of work for them tonight
13645,entailment,construction workers stand near tracks at night.,people are near the tracks at night.,people are near the tracks at night.
13646,contradiction,construction workers stand near tracks at night.,a team of lawyers is sitting on a train consulting about a case.,a team of lawyers is sitting on a train consulting about a case.
13647,contradiction,construction workers stand near tracks at night.,"the railroad is running on schedule on this afternoon, so the workers had better get out of the way.","the railroad is running on schedule on this afternoon, so the workers had better get out of the way."
13648,entailment,construction workers stand near tracks at night.,employed people aren't sitting even though the day is over.,employed people are not sitting even though the day is over.
13649,neutral,construction workers stand near tracks at night.,a group of construction workers have been called out to a railway yard at midnight because some equipment collapsed.,a group of construction workers have been called out to a railway yard at midnight because some equipment collapsed.
13650,entailment,construction workers stand near tracks at night.,people work construction,people work construction
13651,entailment,construction workers stand near tracks at night.,people standing,people standing
13652,contradiction,construction workers stand near tracks at night.,people sitting at dawn,people sitting at dawn
13653,contradiction,a man with an orange vest and pants pouring stones on railroad tracks.,the man in the orange vest drove across the railroad track,the man in the orange vest drove across the railroad track
13654,neutral,a man with an orange vest and pants pouring stones on railroad tracks.,a man with an orange vest was working on the railroad tracks,a man with an orange vest was working on the railroad tracks
13655,entailment,a man with an orange vest and pants pouring stones on railroad tracks.,a man with an orange vest and pants pouring stones on railroad tracks,a man with an orange vest and pants pouring stones on railroad tracks
13656,neutral,a construction worker watches as a tractor dumps rocks onto a track.,a person helps with the creation of a new path around a lake.,a person helps with the creation of a new path around a lake.
13657,contradiction,a construction worker watches as a tractor dumps rocks onto a track.,"a woman with a shovel, moves mulch into her garden.","a woman with a shovel, moves mulch into her garden."
13658,entailment,a construction worker watches as a tractor dumps rocks onto a track.,a person driving heavy equipment maneuvers his load.,a person driving heavy equipment maneuvers his load.
13659,contradiction,construction workers work on railroad tracks at night.,there are clowns making jokes.,there are clowns making jokes.
13660,contradiction,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",the man decided to go to the beach.,the man decided to go to the beach.
13661,contradiction,a man makes a face while holding colorful hats.,a young lady is wearing a corset at a club.,a young lady is wearing a corset at a club.
13662,entailment,a man makes a face while holding colorful hats.,a man holds colorful hats.,a man holds colorful hats.
13663,neutral,a man makes a face while holding colorful hats.,a man is holding hats trying to sell them on the street.,a man is holding hats trying to sell them on the street.
13664,contradiction,"a man with long hair and glasses is making a silly face while holding two hats, one on his elbow, and one with his hand above his head.",the man is bald,the man is bald
13665,neutral,"a man with long hair and glasses is making a silly face while holding two hats, one on his elbow, and one with his hand above his head.",the glasses are round,the glasses are round
13666,entailment,"a man with long hair and glasses is making a silly face while holding two hats, one on his elbow, and one with his hand above his head.",the man has long hair,the man has long hair
13667,contradiction,a man in a brown shirt is holding a blue hat above his head and a red hat on his elbow.,a dog is looking at another dog.,a dog is looking at another dog.
13668,neutral,a man in a brown shirt is holding a blue hat above his head and a red hat on his elbow.,a man in a brown shirt is holding a hat that he just bought.,a man in a brown shirt is holding a hat that he just bought.
13669,entailment,a man in a brown shirt is holding a blue hat above his head and a red hat on his elbow.,a man in a brown shirt is holding a hat above his head.,a man in a brown shirt is holding a hat above his head.
13670,entailment,a long-haired man displays a humorous face while wearing two hats.,a man with long hair makes a funny face while wearing two hats,a man with long hair makes a funny face while wearing two hats
13671,entailment,a long-haired man displays a humorous face while wearing two hats.,a man with long hair smiles while wearing two hats,a man with long hair smiles while wearing two hats
13672,contradiction,a long-haired man displays a humorous face while wearing two hats.,a man with long hair covers his face with two silly hats,a man with long hair covers his face with two silly hats
13673,contradiction,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a man is alone in the woods.,a man is alone in the woods.
13674,entailment,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a crowd is watching a man with hats,a crowd is watching a man with hats
13675,contradiction,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",two stiltwalkers duel in order to win their love's heart.,two stiltwalkers duel in order to win their love's heart.
13676,contradiction,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",the man has no hats,the man has no hats
13677,neutral,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a street performer is playing with hats,a street performer is playing with hats
13678,entailment,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a man is holding hats in front of a group of people.,a man is holding hats in front of a group of people.
13679,contradiction,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a man is wearing a hat on his head.,a man is wearing a hat on his head.
13680,neutral,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a man performs tricks with hats in front of a captivated audience.,a man performs tricks with hats in front of a captivated audience.
13681,neutral,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a man is addressing the crowd.,a man is addressing the crowd.
13682,entailment,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a man is standing in front of lots of people.,a man is standing in front of lots of people.
13683,neutral,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",the main with the two hats is a magician.,the main with the two hats is a magician.
13684,neutral,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a man is showing off hat tricks to a crowd.,a man is showing off hat tricks to a crowd.
13685,entailment,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",the man was performing for a crowd.,the man was performing for a crowd.
13686,entailment,"a man is holding two hats, one in his hand and one hanging from his elbow, in front of a crowd.",a man with multiple hats is in front of a large group of people.,a man with multiple hats is in front of a large group of people.
13687,entailment,an african american man holds his soda.,a man outside is holding a drink.,a man outside is holding a drink.
13688,contradiction,a black man drinking out of a paper cup.,a dog is laying on the floor.,a dog is laying on the floor.
13689,contradiction,a man with a soft drink poses for the camera with a park in the background.,the man is wearing a dress.,the man is wearing a dress.
13690,contradiction,a man wearing a hat leans against a bench and holds a cup.,a man is sleeping on a park bench.,a man is sleeping on a park bench.
13691,neutral,a man with a soft drink poses for the camera with a park in the background.,the man is dressed causually.,the man is dressed causually.
13692,entailment,a man with a soft drink poses for the camera with a park in the background.,a man has his picture taken outdoors.,a man has his picture taken outdoors.
13693,entailment,a man wearing a hat leans against a bench and holds a cup.,a man is standing outside.,a man is standing outside.
13694,neutral,a man wearing a hat leans against a bench and holds a cup.,a baseball player watches the game from the dugout.,a baseball player watches the game from the dugout.
13695,contradiction,a black man wearing a white suit and hat is holding a paper cup.,the man is tossing the cup into the garbage.,the man is tossing the cup into the garbage.
13696,entailment,a black man wearing a white suit and hat is holding a paper cup.,the adult has a cup made of paper.,the adult has a cup made of paper.
13697,neutral,a black man wearing a white suit and hat is holding a paper cup.,the man in the white suit is holding a white cup.,the man in the white suit is holding a white cup.
13698,contradiction,an african american man holds his soda.,a man outside is drinking a soda,a man outside is drinking a soda
13699,neutral,an african american man holds his soda.,a man outside is holding a drink in warm weather,a man outside is holding a drink in warm weather
13700,entailment,a black man drinking out of a paper cup.,a man is drinking out of a cup.,a man is drinking out of a cup.
13701,neutral,a black man drinking out of a paper cup.,a man is drinking coffee out of a cup.,a man is drinking coffee out of a cup.
13702,entailment,a man is sitting on a bench on top of grass.,a man is outside.,a man is outside.
13703,neutral,a man sitting on a bench by the ocean.,a man sitting on a bench enjoys the view.,a man sitting on a bench enjoys the view.
13704,entailment,a man sitting on a bench by the ocean.,a man sitting on a bench.,a man sitting on a bench.
13705,neutral,an old man sitting on a bench staring at the ocean,the bench is on the boardwalk.,the bench is on the boardwalk.
13706,contradiction,an old man sitting on a bench staring at the ocean,the ocean sits on a bench to stare at the man.,the ocean sits on a bench to stare at the man.
13707,entailment,an old man sitting on a bench staring at the ocean,the man's buttocks are on the bench.,the man's buttocks are on the bench.
13708,entailment,an old man sits on a bench overlooking the water.,the old man is not standing up.,the old man isn't standing up.
13709,neutral,an old man sits on a bench overlooking the water.,the old man is trying to find a good place to go fishing.,the old man is trying to find a good place to go fishing.
13710,contradiction,an old man sits on a bench overlooking the water.,the old man is jumping into the water.,the old man is jumping into the water.
13711,contradiction,a man sitting on a bench by the ocean.,a woman walking on a beach by the ocean.,a woman walking on a beach by the ocean.
13712,entailment,an elderly man sitting on a bench near the water,an elderly man is enjoying beautiful scenery.,an elderly man is enjoying beautiful scenery.
13713,contradiction,a man is sitting on a bench on top of grass.,a man is walking to the store.,a man is walking to the store.
13714,neutral,a man is sitting on a bench on top of grass.,a man is feeding pigeons in the park.,a man is feeding pigeons in the park.
13715,contradiction,an elderly man sitting on a bench near the water,an elderly man is lying in the grass.,an elderly man is lying in the grass.
13716,neutral,an elderly man sitting on a bench near the water,an elderly man is sitting in a park.,an elderly man is sitting in a park.
13717,entailment,a little girl in a pink bathing suit laughs by a pool.,a little person in a pink bathing suit laughs by a pool.,a little person in a pink bathing suit laughs by a pool.
13718,entailment,young african-american girl in a red bathing suit at the edge of the pool.,an african-american girl is wearing red clothing.,an african-american girl is wearing red clothing.
13719,contradiction,young african-american girl in a red bathing suit at the edge of the pool.,a girl is sitting in an airplane.,a girl is sitting in an airplane.
13720,contradiction,a young girl in a pool.,the girl is at the beach.,the girl is at the beach.
13721,entailment,a young girl in a pool.,there is a girl in the water.,there's a girl in the water.
13722,neutral,a young girl in a pool.,the girl cannot swim in the pool.,the girl cannot swim in the pool.
